fund,quarter,quarter_label,portfolio_value,rank,ticker,company,weight,sector
psc,2025Q1,2025   Q1,$11.9 B,2,BN,Brookfield Corp.,0.1801,Financials
psc,2025Q1,2025   Q1,$11.9 B,3,QSR,Restaurant Brands International,0.1285,Consumer Discretionary
psc,2025Q1,2025   Q1,$11.9 B,4,HHH,Howard Hughes Holdings Inc.,0.11710000000000001,Real Estate
psc,2025Q1,2025   Q1,$11.9 B,5,CMG,Chipotle Mexican Grill Inc.,0.0907,Consumer Discretionary
psc,2025Q1,2025   Q1,$11.9 B,6,CP,Canadian Pacific Kansas City,0.08710000000000001,Industrials
psc,2025Q1,2025   Q1,$11.9 B,7,GOOG,Alphabet Inc. CL C,0.0828,Communication Services
psc,2025Q1,2025   Q1,$11.9 B,8,GOOGL,Alphabet Inc.,0.0575,Communication Services
psc,2025Q1,2025   Q1,$11.9 B,9,HLT,Hilton Worldwide Holdings,0.0572,Consumer Discretionary
psc,2025Q1,2025   Q1,$11.9 B,10,SEG,Seaport Entertainment Group,0.009000000000000001,Real Estate
psc,2025Q1,2025   Q1,$11.9 B,11,HTZ,Hertz Global Hldgs Inc.,0.005,Industrials
psc,2024Q4,2024   Q4,$12.7 B,1,BN,Brookfield Corp.,0.1583,Financials
psc,2024Q4,2024   Q4,$12.7 B,2,QSR,Restaurant Brands International,0.1184,Consumer Discretionary
psc,2024Q4,2024   Q4,$12.7 B,3,CMG,Chipotle Mexican Grill Inc.,0.1174,Consumer Discretionary
psc,2024Q4,2024   Q4,$12.7 B,4,HHH,Howard Hughes Holdings Inc.,0.11449999999999999,Real Estate
psc,2024Q4,2024   Q4,$12.7 B,5,GOOG,Alphabet Inc. CL C,0.11349999999999999,Communication Services
psc,2024Q4,2024   Q4,$12.7 B,6,NKE,NIKE Inc.,0.11220000000000001,Consumer Discretionary
psc,2024Q4,2024   Q4,$12.7 B,7,HLT,Hilton Worldwide Holdings,0.10619999999999999,Consumer Discretionary
psc,2024Q4,2024   Q4,$12.7 B,8,CP,Canadian Pacific Kansas City,0.085,Industrials
psc,2024Q4,2024   Q4,$12.7 B,9,GOOGL,Alphabet Inc.,0.0596,Communication Services
psc,2024Q4,2024   Q4,$12.7 B,10,SEG,Seaport Entertainment Group,0.0111,Real Estate
psc,2024Q4,2024   Q4,$12.7 B,11,HTZ,Hertz Global Hldgs Inc.,0.0037,Industrials
psc,2024Q3,2024   Q3,$12.9 B,1,BN,Brookfield Corp.,0.1348,Financials
psc,2024Q3,2024   Q3,$12.9 B,2,HLT,Hilton Worldwide Holdings,0.1316,Consumer Discretionary
psc,2024Q3,2024   Q3,$12.9 B,3,CMG,Chipotle Mexican Grill Inc.,0.1286,Consumer Discretionary
psc,2024Q3,2024   Q3,$12.9 B,4,QSR,Restaurant Brands International,0.1285,Consumer Discretionary
psc,2024Q3,2024   Q3,$12.9 B,5,HHH,Howard Hughes Holdings Inc.,0.1131,Real Estate
psc,2024Q3,2024   Q3,$12.9 B,6,NKE,NIKE Inc.,0.1115,Consumer Discretionary
psc,2024Q3,2024   Q3,$12.9 B,7,CP,Canadian Pacific Kansas City,0.0986,Industrials
psc,2024Q3,2024   Q3,$12.9 B,8,GOOG,Alphabet Inc. CL C,0.0977,Communication Services
psc,2024Q3,2024   Q3,$12.9 B,9,GOOGL,Alphabet Inc.,0.0512,Communication Services
psc,2024Q3,2024   Q3,$12.9 B,10,SEG,Seaport Entertainment Group,0.0044,Real Estate
psc,2024Q2,2024   Q2,$10.4 B,1,HLT,Hilton Worldwide Holdings,0.18760000000000002,Consumer Discretionary
psc,2024Q2,2024   Q2,$10.4 B,2,CMG,Chipotle Mexican Grill Inc.,0.1734,Consumer Discretionary
psc,2024Q2,2024   Q2,$10.4 B,3,QSR,Restaurant Brands International,0.1564,Consumer Discretionary
psc,2024Q2,2024   Q2,$10.4 B,4,GOOG,Alphabet Inc. CL C,0.133,Communication Services
psc,2024Q2,2024   Q2,$10.4 B,5,HHH,Howard Hughes Holdings Inc.,0.1174,Real Estate
psc,2024Q2,2024   Q2,$10.4 B,6,CP,Canadian Pacific Kansas City,0.11320000000000001,Industrials
psc,2024Q2,2024   Q2,$10.4 B,7,GOOGL,Alphabet Inc.,0.0697,Communication Services
psc,2024Q2,2024   Q2,$10.4 B,8,BN,Brookfield Corp.,0.0273,Financials
psc,2024Q2,2024   Q2,$10.4 B,9,NKE,NIKE Inc.,0.022000000000000002,Consumer Discretionary
psc,2024Q1,2024   Q1,$10.8 B,1,CMG,Chipotle Mexican Grill Inc.,0.201,Consumer Discretionary
psc,2024Q1,2024   Q1,$10.8 B,2,HLT,Hilton Worldwide Holdings,0.182,Consumer Discretionary
psc,2024Q1,2024   Q1,$10.8 B,3,QSR,Restaurant Brands International,0.1724,Consumer Discretionary
psc,2024Q1,2024   Q1,$10.8 B,4,GOOG,Alphabet Inc. CL C,0.13269999999999998,Communication Services
psc,2024Q1,2024   Q1,$10.8 B,5,HHH,Howard Hughes Holdings Inc.,0.1272,Real Estate
psc,2024Q1,2024   Q1,$10.8 B,6,CP,Canadian Pacific Kansas City,0.12369999999999999,Industrials
psc,2024Q1,2024   Q1,$10.8 B,7,GOOGL,Alphabet Inc.,0.0611,Communication Services
psc,2023Q4,2023   Q4,$10.4 B,1,CMG,Chipotle Mexican Grill Inc.,0.1815,Consumer Discretionary
psc,2023Q4,2023   Q4,$10.4 B,2,QSR,Restaurant Brands International,0.17550000000000002,Consumer Discretionary
psc,2023Q4,2023   Q4,$10.4 B,3,HLT,Hilton Worldwide Holdings,0.16079999999999997,Consumer Discretionary
psc,2023Q4,2023   Q4,$10.4 B,4,HHH,Howard Hughes Holdings Inc.,0.1551,Real Estate
psc,2023Q4,2023   Q4,$10.4 B,5,GOOG,Alphabet Inc. CL C,0.12710000000000002,Communication Services
psc,2023Q4,2023   Q4,$10.4 B,6,CP,Canadian Pacific Kansas City,0.1148,Industrials
psc,2023Q4,2023   Q4,$10.4 B,7,GOOGL,Alphabet Inc.,0.058499999999999996,Communication Services
psc,2023Q4,2023   Q4,$10.4 B,8,LOW,Lowe's Cos.,0.026699999999999998,Consumer Discretionary
psc,2023Q3,2023   Q3,$10.5 B,1,CMG,Chipotle Mexican Grill Inc.,0.16649999999999998,Consumer Discretionary
psc,2023Q3,2023   Q3,$10.5 B,2,QSR,Restaurant Brands International,0.1482,Consumer Discretionary
psc,2023Q3,2023   Q3,$10.5 B,3,HLT,Hilton Worldwide Holdings,0.1475,Consumer Discretionary
psc,2023Q3,2023   Q3,$10.5 B,4,LOW,Lowe's Cos.,0.14,Consumer Discretionary
psc,2023Q3,2023   Q3,$10.5 B,5,HHH,Howard Hughes Holdings Inc.,0.11869999999999999,Real Estate
psc,2023Q3,2023   Q3,$10.5 B,6,GOOG,Alphabet Inc. CL C,0.11779999999999999,Communication Services
psc,2023Q3,2023   Q3,$10.5 B,7,CP,Canadian Pacific Kansas City,0.107,Industrials
psc,2023Q3,2023   Q3,$10.5 B,8,GOOGL,Alphabet Inc.,0.054299999999999994,Communication Services
psc,2023Q2,2023   Q2,$10.8 B,1,CMG,Chipotle Mexican Grill Inc.,0.1886,Consumer Discretionary
psc,2023Q2,2023   Q2,$10.8 B,2,QSR,Restaurant Brands International,0.1673,Consumer Discretionary
psc,2023Q2,2023   Q2,$10.8 B,3,LOW,Lowe's Cos.,0.1558,Consumer Discretionary
psc,2023Q2,2023   Q2,$10.8 B,4,HLT,Hilton Worldwide Holdings,0.12560000000000002,Consumer Discretionary
psc,2023Q2,2023   Q2,$10.8 B,5,HHH,Howard Hughes Holdings Inc.,0.1209,Real Estate
psc,2023Q2,2023   Q2,$10.8 B,6,CP,Canadian Pacific Kansas City,0.1127,Industrials
psc,2023Q2,2023   Q2,$10.8 B,7,GOOG,Alphabet Inc. CL C,0.10490000000000001,Communication Services
psc,2023Q2,2023   Q2,$10.8 B,8,GOOGL,Alphabet Inc.,0.0242,Communication Services
psc,2023Q1,2023   Q1,$10.2 B,1,LOW,Lowe's Cos.,0.19640000000000002,Consumer Discretionary
psc,2023Q1,2023   Q1,$10.2 B,2,CMG,Chipotle Mexican Grill Inc.,0.1721,Consumer Discretionary
psc,2023Q1,2023   Q1,$10.2 B,3,QSR,Restaurant Brands International,0.159,Consumer Discretionary
psc,2023Q1,2023   Q1,$10.2 B,4,HLT,Hilton Worldwide Holdings,0.1282,Consumer Discretionary
psc,2023Q1,2023   Q1,$10.2 B,5,HHH,Howard Hughes Holdings Inc.,0.1252,Real Estate
psc,2023Q1,2023   Q1,$10.2 B,6,CP,Canadian Pacific Kansas City,0.1148,Industrials
psc,2023Q1,2023   Q1,$10.2 B,7,GOOG,Alphabet Inc. CL C,0.0821,Communication Services
psc,2023Q1,2023   Q1,$10.2 B,8,GOOGL,Alphabet Inc.,0.0222,Communication Services
psc,2022Q4,2022   Q4,$8.78 B,1,LOW,Lowe's Cos.,0.2353,Consumer Discretionary
psc,2022Q4,2022   Q4,$8.78 B,2,QSR,Restaurant Brands International,0.17809999999999998,Consumer Discretionary
psc,2022Q4,2022   Q4,$8.78 B,3,CMG,Chipotle Mexican Grill Inc.,0.1746,Consumer Discretionary
psc,2022Q4,2022   Q4,$8.78 B,4,HLT,Hilton Worldwide Holdings,0.14429999999999998,Consumer Discretionary
psc,2022Q4,2022   Q4,$8.78 B,5,HHH,Howard Hughes Holdings Inc.,0.1383,Real Estate
psc,2022Q4,2022   Q4,$8.78 B,6,CP,Canadian Pacific Kansas City,0.1294,Industrials
psc,2022Q3,2022   Q3,$7.88 B,1,LOW,Lowe's Cos.,0.24739999999999998,Consumer Discretionary
psc,2022Q3,2022   Q3,$7.88 B,2,CMG,Chipotle Mexican Grill Inc.,0.2108,Consumer Discretionary
psc,2022Q3,2022   Q3,$7.88 B,3,QSR,Restaurant Brands International,0.16329999999999997,Consumer Discretionary
psc,2022Q3,2022   Q3,$7.88 B,4,HLT,Hilton Worldwide Holdings,0.1536,Consumer Discretionary
psc,2022Q3,2022   Q3,$7.88 B,5,CP,Canadian Pacific Kansas City,0.1291,Industrials
psc,2022Q3,2022   Q3,$7.88 B,6,HHH,Howard Hughes Holdings Inc.,0.0958,Real Estate
psc,2022Q2,2022   Q2,$7.46 B,1,LOW,Lowe's Cos.,0.2389,Consumer Discretionary
psc,2022Q2,2022   Q2,$7.46 B,2,CMG,Chipotle Mexican Grill Inc.,0.1936,Consumer Discretionary
psc,2022Q2,2022   Q2,$7.46 B,3,QSR,Restaurant Brands International,0.16010000000000002,Consumer Discretionary
psc,2022Q2,2022   Q2,$7.46 B,4,HLT,Hilton Worldwide Holdings,0.14800000000000002,Consumer Discretionary
psc,2022Q2,2022   Q2,$7.46 B,5,HHH,Howard Hughes Holdings Inc.,0.1242,Real Estate
psc,2022Q2,2022   Q2,$7.46 B,6,DPZ,Dominos Pizza Inc.,0.1076,Consumer Discretionary
psc,2022Q2,2022   Q2,$7.46 B,7,CP,Canadian Pacific Kansas City,0.0276,Industrials
psc,2022Q1,2022   Q1,$10.4 B,1,LOW,Lowe's Cos.,0.1986,Consumer Discretionary
psc,2022Q1,2022   Q1,$10.4 B,2,CMG,Chipotle Mexican Grill Inc.,0.1697,Consumer Discretionary
psc,2022Q1,2022   Q1,$10.4 B,3,HLT,Hilton Worldwide Holdings,0.14529999999999998,Consumer Discretionary
psc,2022Q1,2022   Q1,$10.4 B,4,HHH,Howard Hughes Holdings Inc.,0.1358,Real Estate
psc,2022Q1,2022   Q1,$10.4 B,5,QSR,Restaurant Brands International,0.1341,Consumer Discretionary
psc,2022Q1,2022   Q1,$10.4 B,6,NFLX,Netflix Inc.,0.1121,Communication Services
psc,2022Q1,2022   Q1,$10.4 B,7,DPZ,Dominos Pizza Inc.,0.081,Consumer Discretionary
psc,2022Q1,2022   Q1,$10.4 B,8,CP,Canadian Pacific Kansas City,0.023399999999999997,Industrials
psc,2021Q4,2021   Q4,$10.8 B,1,LOW,Lowe's Cos.,0.24539999999999998,Consumer Discretionary
psc,2021Q4,2021   Q4,$10.8 B,2,HLT,Hilton Worldwide Holdings,0.1822,Consumer Discretionary
psc,2021Q4,2021   Q4,$10.8 B,3,CMG,Chipotle Mexican Grill Inc.,0.1808,Consumer Discretionary
psc,2021Q4,2021   Q4,$10.8 B,4,QSR,Restaurant Brands International,0.13470000000000001,Consumer Discretionary
psc,2021Q4,2021   Q4,$10.8 B,5,HHH,Howard Hughes Holdings Inc.,0.1286,Real Estate
psc,2021Q4,2021   Q4,$10.8 B,6,DPZ,Dominos Pizza Inc.,0.10949999999999999,Consumer Discretionary
psc,2021Q4,2021   Q4,$10.8 B,7,CP,Canadian Pacific Kansas City,0.018799999999999997,Industrials
psc,2021Q3,2021   Q3,$9.46 B,1,LOW,Lowe's Cos.,0.2194,Consumer Discretionary
psc,2021Q3,2021   Q3,$9.46 B,2,CMG,Chipotle Mexican Grill Inc.,0.2141,Consumer Discretionary
psc,2021Q3,2021   Q3,$9.46 B,3,HLT,Hilton Worldwide Holdings,0.17989999999999998,Consumer Discretionary
psc,2021Q3,2021   Q3,$9.46 B,4,QSR,Restaurant Brands International,0.1548,Consumer Discretionary
psc,2021Q3,2021   Q3,$9.46 B,5,HHH,Howard Hughes Holdings Inc.,0.1264,Real Estate
psc,2021Q3,2021   Q3,$9.46 B,6,DPZ,Dominos Pizza Inc.,0.1054,Consumer Discretionary
psc,2021Q2,2021   Q2,$10.7 B,1,LOW,Lowe's Cos.,0.1837,Consumer Discretionary
psc,2021Q2,2021   Q2,$10.7 B,2,A,Agilent Technologies,0.16140000000000002,Healthcare
psc,2021Q2,2021   Q2,$10.7 B,3,CMG,Chipotle Mexican Grill Inc.,0.1572,Consumer Discretionary
psc,2021Q2,2021   Q2,$10.7 B,4,HLT,Hilton Worldwide Holdings,0.1437,Consumer Discretionary
psc,2021Q2,2021   Q2,$10.7 B,5,QSR,Restaurant Brands International,0.1426,Consumer Discretionary
psc,2021Q2,2021   Q2,$10.7 B,6,HHH,Howard Hughes Holdings Inc.,0.1226,Real Estate
psc,2021Q2,2021   Q2,$10.7 B,7,DPZ,Dominos Pizza Inc.,0.0888,Consumer Discretionary
psc,2021Q1,2021   Q1,$10.5 B,1,LOW,Lowe's Cos.,0.21739999999999998,Consumer Discretionary
psc,2021Q1,2021   Q1,$10.5 B,2,HLT,Hilton Worldwide Holdings,0.1489,Consumer Discretionary
psc,2021Q1,2021   Q1,$10.5 B,3,QSR,Restaurant Brands International,0.1487,Consumer Discretionary
psc,2021Q1,2021   Q1,$10.5 B,4,CMG,Chipotle Mexican Grill Inc.,0.1475,Consumer Discretionary
psc,2021Q1,2021   Q1,$10.5 B,5,A,Agilent Technologies,0.1435,Healthcare
psc,2021Q1,2021   Q1,$10.5 B,6,HHH,Howard Hughes Holdings Inc.,0.1225,Real Estate
psc,2021Q1,2021   Q1,$10.5 B,7,DPZ,Dominos Pizza Inc.,0.0716,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,1,LOW,Lowe's Cos.,0.19879999999999998,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,2,CMG,Chipotle Mexican Grill Inc.,0.161,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,3,QSR,Restaurant Brands International,0.153,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,4,HLT,Hilton Worldwide Holdings,0.1485,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,5,A,Agilent Technologies,0.1449,Healthcare
psc,2020Q4,2020   Q4,$10 B,6,SBUX,Starbucks Corp.,0.10769999999999999,Consumer Discretionary
psc,2020Q4,2020   Q4,$10 B,7,HHH,Howard Hughes Holdings Inc.,0.0862,Real Estate
psc,2020Q3,2020   Q3,$8.82 B,1,LOW,Lowe's Cos.,0.23329999999999998,Consumer Discretionary
psc,2020Q3,2020   Q3,$8.82 B,2,CMG,Chipotle Mexican Grill Inc.,0.1637,Consumer Discretionary
psc,2020Q3,2020   Q3,$8.82 B,3,QSR,Restaurant Brands International,0.1637,Consumer Discretionary
psc,2020Q3,2020   Q3,$8.82 B,4,A,Agilent Technologies,0.1401,Healthcare
psc,2020Q3,2020   Q3,$8.82 B,5,HLT,Hilton Worldwide Holdings,0.1292,Consumer Discretionary
psc,2020Q3,2020   Q3,$8.82 B,6,SBUX,Starbucks Corp.,0.0987,Consumer Discretionary
psc,2020Q3,2020   Q3,$8.82 B,7,HHH,Howard Hughes Holdings Inc.,0.0713,Real Estate
psc,2020Q2,2020   Q2,$7.75 B,1,LOW,Lowe's Cos.,0.22149999999999997,Consumer Discretionary
psc,2020Q2,2020   Q2,$7.75 B,2,QSR,Restaurant Brands International,0.177,Consumer Discretionary
psc,2020Q2,2020   Q2,$7.75 B,3,CMG,Chipotle Mexican Grill Inc.,0.1576,Consumer Discretionary
psc,2020Q2,2020   Q2,$7.75 B,4,A,Agilent Technologies,0.1439,Healthcare
psc,2020Q2,2020   Q2,$7.75 B,5,HLT,Hilton Worldwide Holdings,0.1306,Consumer Discretionary
psc,2020Q2,2020   Q2,$7.75 B,6,SBUX,Starbucks Corp.,0.0962,Consumer Discretionary
psc,2020Q2,2020   Q2,$7.75 B,7,HHH,Howard Hughes Holdings Inc.,0.0732,Real Estate
psc,2020Q1,2020   Q1,$6.57 B,1,LOW,Lowe's Cos.,0.1604,Consumer Discretionary
psc,2020Q1,2020   Q1,$6.57 B,2,BRK.B,Berkshire Hathaway CL B,0.1517,Financials
psc,2020Q1,2020   Q1,$6.57 B,3,HLT,Hilton Worldwide Holdings,0.1432,Consumer Discretionary
psc,2020Q1,2020   Q1,$6.57 B,4,A,Agilent Technologies,0.1376,Healthcare
psc,2020Q1,2020   Q1,$6.57 B,5,CMG,Chipotle Mexican Grill Inc.,0.11560000000000001,Consumer Discretionary
psc,2020Q1,2020   Q1,$6.57 B,6,SBUX,Starbucks Corp.,0.1013,Consumer Discretionary
psc,2020Q1,2020   Q1,$6.57 B,7,HHH,Howard Hughes Holdings Inc.,0.09369999999999999,Real Estate
psc,2020Q1,2020   Q1,$6.57 B,8,QSR,Restaurant Brands International,0.0919,Consumer Discretionary
psc,2020Q1,2020   Q1,$6.57 B,9,BX,Blackstone Group,0.0038,Financials
psc,2020Q1,2020   Q1,$6.57 B,10,PK,Park Hotels & Resorts Inc.,0.0008,Real Estate
psc,2019Q4,2019   Q4,$6.55 B,1,CMG,Chipotle Mexican Grill Inc.,0.22030000000000002,Consumer Discretionary
psc,2019Q4,2019   Q4,$6.55 B,2,HLT,Hilton Worldwide Holdings,0.1787,Consumer Discretionary
psc,2019Q4,2019   Q4,$6.55 B,3,LOW,Lowe's Cos.,0.1574,Consumer Discretionary
psc,2019Q4,2019   Q4,$6.55 B,4,QSR,Restaurant Brands International,0.14679999999999999,Consumer Discretionary
psc,2019Q4,2019   Q4,$6.55 B,5,BRK.B,Berkshire Hathaway CL B,0.1388,Financials
psc,2019Q4,2019   Q4,$6.55 B,6,SBUX,Starbucks Corp.,0.0732,Consumer Discretionary
psc,2019Q4,2019   Q4,$6.55 B,7,HHH,Howard Hughes Holdings Inc.,0.0425,Real Estate
psc,2019Q4,2019   Q4,$6.55 B,8,A,Agilent Technologies,0.042300000000000004,Healthcare
psc,2019Q3,2019   Q3,$6.49 B,1,CMG,Chipotle Mexican Grill Inc.,0.22329999999999997,Consumer Discretionary
psc,2019Q3,2019   Q3,$6.49 B,2,QSR,Restaurant Brands International,0.1654,Consumer Discretionary
psc,2019Q3,2019   Q3,$6.49 B,3,HLT,Hilton Worldwide Holdings,0.1515,Consumer Discretionary
psc,2019Q3,2019   Q3,$6.49 B,4,LOW,Lowe's Cos.,0.1459,Consumer Discretionary
psc,2019Q3,2019   Q3,$6.49 B,5,BRK.B,Berkshire Hathaway CL B,0.12869999999999998,Financials
psc,2019Q3,2019   Q3,$6.49 B,6,SBUX,Starbucks Corp.,0.12689999999999999,Consumer Discretionary
psc,2019Q3,2019   Q3,$6.49 B,7,A,Agilent Technologies,0.0344,Healthcare
psc,2019Q3,2019   Q3,$6.49 B,8,HHH,Howard Hughes Holdings Inc.,0.0239,Real Estate
psc,2019Q2,2019   Q2,$6.71 B,1,CMG,Chipotle Mexican Grill Inc.,0.1948,Consumer Discretionary
psc,2019Q2,2019   Q2,$6.71 B,2,QSR,Restaurant Brands International,0.16210000000000002,Consumer Discretionary
psc,2019Q2,2019   Q2,$6.71 B,3,HLT,Hilton Worldwide Holdings,0.1598,Consumer Discretionary
psc,2019Q2,2019   Q2,$6.71 B,4,LOW,Lowe's Cos.,0.13390000000000002,Consumer Discretionary
psc,2019Q2,2019   Q2,$6.71 B,5,SBUX,Starbucks Corp.,0.1164,Consumer Discretionary
psc,2019Q2,2019   Q2,$6.71 B,6,BRK.B,Berkshire Hathaway CL B,0.1116,Financials
psc,2019Q2,2019   Q2,$6.71 B,7,ADP,Automatic Data Processing Inc.,0.0993,Technology
psc,2019Q2,2019   Q2,$6.71 B,8,HHH,Howard Hughes Holdings Inc.,0.022099999999999998,Real Estate
psc,2019Q1,2019   Q1,$6.72 B,1,CMG,Chipotle Mexican Grill Inc.,0.19699999999999998,Consumer Discretionary
psc,2019Q1,2019   Q1,$6.72 B,2,QSR,Restaurant Brands International,0.1778,Consumer Discretionary
