ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
ICE:US,3,1,2,16500.0,2,Intercontinental Exchange Inc,Financials,0.3333333333333333,BUY
PTC:US,2,2,0,16000.0,1,PTC Inc,Technology,1.0,BUY
SPYM:US,2,2,0,16000.0,1,TRADR 2X LONG SPY MNTHLY ETF,Financials,1.0,BUY
MOS:US,2,2,0,16000.0,1,The Mosaic Company,Materials,1.0,BUY
META:US,4,3,1,16000.0,3,Meta Platforms Inc,Communication Services,0.75,BUY
PYPL:US,2,2,0,16000.0,2,PayPal Holdings Inc,Financials,1.0,BUY
PLTR:US,2,2,0,16000.0,1,Palantir Technologies Inc,Technology,1.0,BUY
FTV:US,2,2,0,16000.0,1,Fortive Corp,Technology,1.0,BUY
AMAT:US,2,2,0,16000.0,2,Applied Materials Inc,Technology,1.0,BUY
DLR:US,2,2,0,16000.0,1,Digital Realty Trust Inc,Real Estate,1.0,BUY
NKE:US,3,2,1,8000.0,2,Nike Inc,Consumer Discretionary,0.6666666666666666,BUY
DLTR:US,1,1,0,8000.0,1,Dollar Tree Inc,Consumer Staples,1.0,BUY
NICE:US,1,1,0,8000.0,1,NICE Ltd,Technology,1.0,BUY
IBP:US,1,1,0,8000.0,1,Installed Building Products Inc,Consumer Discretionary,1.0,BUY
CVNA:US,1,1,0,8000.0,1,Carvana Co,Consumer Discretionary,1.0,BUY
DG:US,1,1,0,8000.0,1,Dollar General Corporation,Consumer Staples,1.0,BUY
ORLY:US,1,1,0,8000.0,1,O'Reilly Automotive Inc,Consumer Discretionary,1.0,BUY
GRMN:US,1,1,0,8000.0,1,Garmin Ltd,Technology,1.0,BUY
CRWD:US,1,1,0,8000.0,1,CrowdStrike Holdings Inc,Technology,1.0,BUY
PCAR:US,1,1,0,8000.0,1,PACCAR Inc,Industrials,1.0,BUY
MRK:US,1,1,0,8000.0,1,Merck & Co Inc,Healthcare,1.0,BUY
IR:US,1,1,0,8000.0,1,Ingersoll Rand Inc,Industrials,1.0,BUY
MPWR:US,1,1,0,8000.0,1,Monolithic Power Systems Inc,Technology,1.0,BUY
MNST:US,1,1,0,8000.0,1,Monster Beverage Corp,Consumer Staples,1.0,BUY
EME:US,1,1,0,8000.0,1,EMCOR Group Inc,Industrials,1.0,BUY
IEUR:US,1,1,0,8000.0,1,iShares Core MSCI Europe ETF,Financials,1.0,BUY
LIN:US,1,1,0,8000.0,1,Linde PLC,Materials,1.0,BUY
EQIX:US,1,1,0,8000.0,1,Equinix Inc,Real Estate,1.0,BUY
EQT:US,1,1,0,8000.0,1,EQT Corp,Energy,1.0,BUY
ETN:US,1,1,0,8000.0,1,Eaton Corp PLC,Industrials,1.0,BUY
